#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),PROMPT
,alacritty,is GPU-accelerated terminal emulator,
,cmus,is ncurses-based music player,
,cronie,is task scheduler,
,dnsmasq,is required for making wifi hotspots,
,dosfstools,allows your computer to access dos-like filesystems.,
,dunst,is a suckless notification system.,
,efibootmgr,is user-space application to modify the EFI Boot Manager,
,exfat-utils,allows management of FAT drives.,
,ffmpeg,can record and splice video and audio on the command line.,
,file-roller,is archive manager,
,fzf,is command-line fuzzy finder,
,Github-cli,is GitHub on the command line,
,gnome-keyring,serves as the system keyring.,
,highlight,can highlight code output.,
,htop,is interactive process viewer,
,id3lib,is library for reading/writing/manipulating ID3v1 and ID3v2 tags,
,imagemagick,is image viewing/manipulation program,
,inetutils,is collection of common network programs providing telnet,
,jq,is command-line JSON processor,
,lazygit,is simple terminal UI for git commands,
,libnotify,allows desktop notifications.,
,lxsession-gtk3,X11 session manager,
,lynx,is a text browser,
,maim,can take quick screenshots at your request.,
,man-db,lets you read man pages of programs.,
,mpv,is the patrician's choice video player.,
,neovim,is text editor,
,networkmanager-openvpn,is network manager module for openvpn,
,npm,is a package manager for javascript,
,ntfs-3g,allows accessing NTFS partitions.,
,p7zip,is file archiver,
,pamixer,is a command-line audio interface.,
,pass,stores/retrieves/generates/synchronizes passwords securely,
,perl-file-mimeinfo,are used for generic support in xdg-open,
,pulseaudio-alsa,is the audio system.,
,pulsemixer,is an audio controler.,
,sshfs,is ssh file transfer protocol client,
,transmission-gtk,is a feature rich cross platform Transmission BitTorrent client,
,ttf-jetbrains-mono,is typeface for developers by JetBrains,
,ttf-linux-libertine,provides the sans and serif fonts for LARBS.,
,ttf-nerd-fonts-symbols,is collection of extra glyphs from popular 'iconic fonts',
,ueberzug,allows images displaying in combination with X11,
,unclutter,hides an inactive mouse.,
,unrar,extracts rar's.,
,unzip,unzips zips.,
,wget,is utility to retrieve files from the Web,
,xclip,allows for copying and pasting from the command line.,
,xdg-utils,are command line tools that assist with a variety of desktop tasks,
,xdotool,is X11 automation tool,
,xorg-server,is the graphical server.,
,xorg-xbacklight,enables changing screen brightness levels.,
,xorg-xinit,starts the graphical server.,
,xorg-xprop,is a tool for detecting window properties.,
,xorg-xwininfo,allows querying information about windows.,
,xwallpaper,sets wallpaper,
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.,
,zsh-autosuggestions,suggests commands as you type based on history and completions,
,zsh-completions,provides additional completion definitions for Zsh,
,zsh-history-substring-search,alows serching history with with up and down keys,
,zsh-syntax-highlighting,provides syntax highlighting for the zsh,
A,brave-bin,is chromium based web browser,
A,devour,provides swallowing feature for terminal emulators,
A,dragon-drag-and-drop,is simple drag-and-drop source/sink for X,
A,lf,is a terminal file manager,
A,ly,is TUI display manager,
G,https://github.com/DusanLesan/dmenu.git,runs commands and provides a UI for selection.,
G,https://github.com/DusanLesan/dwm.git,is the window manager,
G,https://github.com/DusanLesan/dwmblocks.git,serves as the modular status bar,
G,https://github.com/DusanLesan/slock.git,allows you to lock your computer and quickly unlock with your password,
G,https://github.com/DusanLesan/st.git,is my custom build of suckless's terminal emulator.,
G,https://github.com/DusanLesan/nsxiv.git,is a minimalist image viewer.,
,code,is Microsoft’s IDE,*
,gamemode,allows games to request optimisations from host OS,*
,libreoffice-still,is office suite,*
,steam,is Valve's digital software delivery system,*
A,insomnia-bin,is API Client and Design Platform for GraphQL and REST,*
A,mattermost-desktop-bin,is Mattermost desktop client,*
A,slack-desktop,is Slack Desktop client,*
A,smartgit,is git client with Hg and SVN support.,*
A,timeshift,is a system restore utility,*
A,x2x-git,allows the keyboard and mouse on one X display to control another X display,*
A,zoom,is video conferencing service client,*
